"Year","Sport","N","Players"
1956,"Hockey",2,"Gordie Howe, Maurice Richard"
1956,"Soccer",3,"Alfredo di Stefano, Ferenc Puskas, Pele"
1956,"Swimming",3,"John Devitt, Jon Henricks, Manuel Dos Santos"
1956,"Tennis",2,"Rod Laver, Roy Emerson"
1957,"Baseball",2,"Stan Musial, Ted Williams"
1957,"Basketball",1,"Bill Russell"
1957,"Chess",2,"Bobby Fischer, Mikhail Botvinnik"
1957,"Cricket",0,NA
1957,"Football",2,"Jim Brown, Johnny Unitas"
1957,"Golf",0,NA
1957,"Hockey",2,"Gordie Howe, Maurice Richard"
1957,"Soccer",3,"Alfredo di Stefano, Ferenc Puskas, Pele"
1957,"Swimming",3,"John Devitt, Jon Henricks, Manuel Dos Santos"
1957,"Tennis",2,"Rod Laver, Roy Emerson"
1958,"Baseball",2,"Stan Musial, Ted Williams"
1958,"Basketball",1,"Bill Russell"
1958,"Chess",2,"Bobby Fischer, Mikhail Botvinnik"
1958,"Cricket",0,NA
1958,"Football",2,"Jim Brown, Johnny Unitas"
1958,"Golf",0,NA
1958,"Hockey",2,"Gordie Howe, Maurice Richard"
1958,"Soccer",3,"Alfredo di Stefano, Ferenc Puskas, Pele"
1958,"Swimming",3,"John Devitt, Jon Henricks, Manuel Dos Santos"
1958,"Tennis",2,"Rod Laver, Roy Emerson"
1959,"Baseball",2,"Stan Musial, Ted Williams"
1959,"Basketball",2,"Bill Russell, Wilt Chamberlain"
1959,"Chess",2,"Bobby Fischer, Mikhail Botvinnik"
1959,"Cricket",0,NA
1959,"Football",2,"Jim Brown, Johnny Unitas"
1959,"Golf",0,NA
1959,"Hockey",2,"Gordie Howe, Maurice Richard"
1959,"Soccer",3,"Alfredo di Stefano, Ferenc Puskas, Pele"
1959,"Swimming",3,"John Devitt, Jon Henricks, Manuel Dos Santos"
1959,"Tennis",2,"Rod Laver, Roy Emerson"
1960,"Baseball",2,"Stan Musial, Ted Williams"
1960,"Basketball",2,"Bill Russell, Wilt Chamberlain"
1960,"Chess",2,"Bobby Fischer, Mikhail Botvinnik"
1960,"Cricket",0,NA
1960,"Football",2,"Jim Brown, Johnny Unitas"
1960,"Golf",0,NA
1960,"Hockey",2,"Gordie Howe, Maurice Richard"
1960,"Soccer",3,"Alfredo di Stefano, Ferenc Puskas, Pele"
1960,"Swimming",4,"Alain Gottvalles, John Devitt, Jon Henricks, Manuel Dos Santos"
1960,"Tennis",2,"Rod Laver, Roy Emerson"
1961,"Baseball",1,"Stan Musial"
1961,"Basketball",2,"Bill Russell, Wilt Chamberlain"
1961,"Chess",2,"Bobby Fischer, Mikhail Botvinnik"
1961,"Cricket",0,NA
1961,"Football",2,"Jim Brown, Johnny Unitas"
1961,"Golf",0,NA
1961,"Hockey",1,"Gordie Howe"
1961,"Soccer",3,"Alfredo di Stefano, Ferenc Puskas, Pele"
1961,"Swimming",2,"Alain Gottvalles, Manuel Dos Santos"
1961,"Tennis",2,"Rod Laver, Roy Emerson"
1962,"Baseball",1,"Stan Musial"
1962,"Basketball",2,"Bill Russell, Wilt Chamberlain"
1962,"Chess",2,"Bobby Fischer, Mikhail Botvinnik"
1962,"Cricket",0,NA
1962,"Football",2,"Jim Brown, Johnny Unitas"
1962,"Golf",1,"Jack Nicklaus"
1962,"Hockey",1,"Gordie Howe"
1962,"Soccer",3,"Alfredo di Stefano, Ferenc Puskas, Pele"
1962,"Swimming",2,"Alain Gottvalles, Manuel Dos Santos"
1962,"Tennis",2,"Rod Laver, Roy Emerson"
1963,"Baseball",1,"Stan Musial"
1963,"Basketball",2,"Bill Russell, Wilt Chamberlain"
1963,"Chess",2,"Bobby Fischer, Mikhail Botvinnik"
1963,"Cricket",0,NA
1963,"Football",2,"Jim Brown, Johnny Unitas"
1963,"Golf",1,"Jack Nicklaus"
1963,"Hockey",1,"Gordie Howe"
1963,"Soccer",3,"Alfredo di Stefano, Ferenc Puskas, Pele"
1963,"Swimming",2,"Alain Gottvalles, Manuel Dos Santos"
1963,"Tennis",2,"Rod Laver, Roy Emerson"
1964,"Baseball",0,NA
1964,"Basketball",2,"Bill Russell, Wilt Chamberlain"
1964,"Chess",2,"Bobby Fischer, Mikhail Botvinnik"
1964,"Cricket",0,NA
1964,"Football",2,"Jim Brown, Johnny Unitas"
1964,"Golf",1,"Jack Nicklaus"
1964,"Hockey",1,"Gordie Howe"
1964,"Soccer",3,"Alfredo di Stefano, Ferenc Puskas, Pele"
1964,"Swimming",2,"Alain Gottvalles, Manuel Dos Santos"
1964,"Tennis",2,"Rod Laver, Roy Emerson"
1965,"Baseball",0,NA
1965,"Basketball",2,"Bill Russell, Wilt Chamberlain"
1965,"Chess",2,"Bobby Fischer, Mikhail Botvinnik"
1965,"Cricket",0,NA
1965,"Football",2,"Jim Brown, Johnny Unitas"
1965,"Golf",1,"Jack Nicklaus"
1965,"Hockey",1,"Gordie Howe"
1965,"Soccer",3,"Alfredo di Stefano, Ferenc Puskas, Pele"
1965,"Swimming",3,"Kenneth Walsh, Manuel Dos Santos, Mark Spitz"
1965,"Tennis",2,"Rod Laver, Roy Emerson"
1966,"Baseball",0,NA
1966,"Basketball",2,"Bill Russell, Wilt Chamberlain"
1966,"Chess",2,"Bobby Fischer, Mikhail Botvinnik"
1966,"Cricket",0,NA
1966,"Football",1,"Johnny Unitas"
1966,"Golf",1,"Jack Nicklaus"
1966,"Hockey",1,"Gordie Howe"
1966,"Soccer",3,"Alfredo di Stefano, Ferenc Puskas, Pele"
1966,"Swimming",3,"Kenneth Walsh, Manuel Dos Santos, Mark Spitz"
1966,"Tennis",2,"Rod Laver, Roy Emerson"
1967,"Baseball",0,NA
1967,"Basketball",2,"Bill Russell, Wilt Chamberlain"
1967,"Chess",2,"Bobby Fischer, Mikhail Botvinnik"
1967,"Cricket",0,NA
1967,"Football",1,"Johnny Unitas"
1967,"Golf",1,"Jack Nicklaus"
1967,"Hockey",1,"Gordie Howe"
1967,"Soccer",1,"Pele"
1967,"Swimming",3,"Kenneth Walsh, Manuel Dos Santos, Mark Spitz"
1967,"Tennis",2,"Rod Laver, Roy Emerson"
1968,"Baseball",0,NA
1968,"Basketball",2,"Bill Russell, Wilt Chamberlain"
1968,"Chess",2,"Bobby Fischer, Mikhail Botvinnik"
1968,"Cricket",0,NA
1968,"Football",1,"Johnny Unitas"
1968,"Golf",1,"Jack Nicklaus"
1968,"Hockey",1,"Gordie Howe"
1968,"Soccer",1,"Pele"
1968,"Swimming",3,"Kenneth Walsh, Manuel Dos Santos, Mark Spitz"
1968,"Tennis",2,"Rod Laver, Roy Emerson"
1969,"Baseball",0,NA
1969,"Basketball",3,"Bill Russell, Kareem Abdul-Jabbar, Wilt Chamberlain"
1969,"Chess",2,"Bobby Fischer, Mikhail Botvinnik"
1969,"Cricket",0,NA
1969,"Football",1,"Johnny Unitas"
1969,"Golf",1,"Jack Nicklaus"
1969,"Hockey",1,"Gordie Howe"
1969,"Soccer",1,"Pele"
1969,"Swimming",2,"Manuel Dos Santos, Mark Spitz"
1969,"Tennis",2,"Rod Laver, Roy Emerson"
1970,"Baseball",0,NA
1970,"Basketball",2,"Kareem Abdul-Jabbar, Wilt Chamberlain"
1970,"Chess",2,"Bobby Fischer, Mikhail Botvinnik"
1970,"Cricket",0,NA
1970,"Football",1,"Johnny Unitas"
1970,"Golf",1,"Jack Nicklaus"
1970,"Hockey",1,"Gordie Howe"
1970,"Soccer",1,"Pele"
1970,"Swimming",1,"Mark Spitz"
1970,"Tennis",2,"Rod Laver, Roy Emerson"
1971,"Baseball",0,NA
1971,"Basketball",2,"Kareem Abdul-Jabbar, Wilt Chamberlain"
1971,"Chess",1,"Bobby Fischer"
1971,"Cricket",0,NA
1971,"Football",1,"Johnny Unitas"
1971,"Golf",1,"Jack Nicklaus"
1971,"Hockey",1,"Gordie Howe"
1971,"Soccer",1,"Pele"
1971,"Swimming",1,"Mark Spitz"
1971,"Tennis",2,"Rod Laver, Roy Emerson"
1972,"Baseball",0,NA
1972,"Basketball",2,"Kareem Abdul-Jabbar, Wilt Chamberlain"
1972,"Chess",1,"Bobby Fischer"
1972,"Cricket",0,NA
1972,"Football",1,"Johnny Unitas"
1972,"Golf",1,"Jack Nicklaus"
1972,"Hockey",0,NA
1972,"Soccer",1,"Pele"
1972,"Swimming",1,"Mark Spitz"
1972,"Tennis",2,"Rod Laver, Roy Emerson"
1973,"Baseball",0,NA
1973,"Basketball",2,"Kareem Abdul-Jabbar, Wilt Chamberlain"
1973,"Chess",0,NA
1973,"Cricket",0,NA
1973,"Football",1,"Johnny Unitas"
1973,"Golf",1,"Jack Nicklaus"
1973,"Hockey",1,"Gordie Howe"
1973,"Soccer",1,"Pele"
1973,"Swimming",2,"Jim Montgomery, Jonty Skinner"
1973,"Tennis",2,"Rod Laver, Roy Emerson"
1974,"Baseball",0,NA
1974,"Basketball",1,"Kareem Abdul-Jabbar"
1974,"Chess",0,NA
1974,"Cricket",0,NA
1974,"Football",0,NA
1974,"Golf",1,"Jack Nicklaus"
1974,"Hockey",1,"Gordie Howe"
1974,"Soccer",1,"Pele"
1974,"Swimming",2,"Jim Montgomery, Jonty Skinner"
1974,"Tennis",2,"Rod Laver, Roy Emerson"
1975,"Baseball",0,NA
1975,"Basketball",1,"Kareem Abdul-Jabbar"
1975,"Chess",0,NA
1975,"Cricket",0,NA
1975,"Football",0,NA
1975,"Golf",1,"Jack Nicklaus"
1975,"Hockey",1,"Gordie Howe"
1975,"Soccer",1,"Pele"
1975,"Swimming",2,"Jim Montgomery, Jonty Skinner"
1975,"Tennis",2,"Rod Laver, Roy Emerson"
1976,"Baseball",0,NA
1976,"Basketball",1,"Kareem Abdul-Jabbar"
1976,"Chess",0,NA
1976,"Cricket",0,NA
1976,"Football",0,NA
1976,"Golf",1,"Jack Nicklaus"
1976,"Hockey",1,"Gordie Howe"
1976,"Soccer",2,"Diego Maradona, Pele"
1976,"Swimming",2,"Jim Montgomery, Jonty Skinner"
1976,"Tennis",2,"Rod Laver, Roy Emerson"
1977,"Baseball",0,NA
1977,"Basketball",1,"Kareem Abdul-Jabbar"
1977,"Chess",0,NA
1977,"Cricket",0,NA
1977,"Football",0,NA
1977,"Golf",1,"Jack Nicklaus"
1977,"Hockey",1,"Gordie Howe"
1977,"Soccer",2,"Diego Maradona, Pele"
1977,"Swimming",0,NA
1977,"Tennis",2,"Rod Laver, Roy Emerson"
1978,"Baseball",0,NA
1978,"Basketball",1,"Kareem Abdul-Jabbar"
1978,"Chess",1,"Garry Kasparov"
1978,"Cricket",0,NA
1978,"Football",0,NA
1978,"Golf",1,"Jack Nicklaus"
1978,"Hockey",3,"Gordie Howe, Mark Messier, Wayne Gretzky"
1978,"Soccer",1,"Diego Maradona"
1978,"Swimming",1,"Rowdy Gaines"
1978,"Tennis",2,"Rod Laver, Roy Emerson"
1979,"Baseball",0,NA
1979,"Basketball",1,"Kareem Abdul-Jabbar"
1979,"Chess",1,"Garry Kasparov"
1979,"Cricket",0,NA
1979,"Football",0,NA
1979,"Golf",1,"Jack Nicklaus"
1979,"Hockey",3,"Gordie Howe, Mark Messier, Wayne Gretzky"
1979,"Soccer",1,"Diego Maradona"
1979,"Swimming",1,"Rowdy Gaines"
1979,"Tennis",2,"Rod Laver, Roy Emerson"
1980,"Baseball",0,NA
1980,"Basketball",1,"Kareem Abdul-Jabbar"
1980,"Chess",1,"Garry Kasparov"
1980,"Cricket",0,NA
1980,"Football",0,NA
1980,"Golf",1,"Jack Nicklaus"
1980,"Hockey",3,"Gordie Howe, Mark Messier, Wayne Gretzky"
1980,"Soccer",1,"Diego Maradona"
1980,"Swimming",1,"Rowdy Gaines"
1980,"Tennis",1,"Roy Emerson"
1981,"Baseball",0,NA
1981,"Basketball",1,"Kareem Abdul-Jabbar"
1981,"Chess",1,"Garry Kasparov"
1981,"Cricket",0,NA
1981,"Football",1,"Lawrence Taylor"
1981,"Golf",1,"Jack Nicklaus"
1981,"Hockey",2,"Mark Messier, Wayne Gretzky"
1981,"Soccer",1,"Diego Maradona"
1981,"Swimming",1,"Rowdy Gaines"
1981,"Tennis",1,"Roy Emerson"
1982,"Baseball",0,NA
1982,"Basketball",1,"Kareem Abdul-Jabbar"
1982,"Chess",1,"Garry Kasparov"
1982,"Cricket",0,NA
1982,"Football",1,"Lawrence Taylor"
1982,"Golf",1,"Jack Nicklaus"
1982,"Hockey",2,"Mark Messier, Wayne Gretzky"
1982,"Soccer",1,"Diego Maradona"
1982,"Swimming",1,"Rowdy Gaines"
1982,"Tennis",1,"Roy Emerson"
1983,"Baseball",0,NA
1983,"Basketball",1,"Kareem Abdul-Jabbar"
1983,"Chess",1,"Garry Kasparov"
1983,"Cricket",0,NA
1983,"Football",1,"Lawrence Taylor"
1983,"Golf",1,"Jack Nicklaus"
1983,"Hockey",2,"Mark Messier, Wayne Gretzky"
1983,"Soccer",1,"Diego Maradona"
1983,"Swimming",1,"Rowdy Gaines"
1983,"Tennis",1,"Roy Emerson"
1984,"Baseball",0,NA
1984,"Basketball",3,"John Stockton, Kareem Abdul-Jabbar, Michael Jordan"
1984,"Chess",1,"Garry Kasparov"
1984,"Cricket",0,NA
1984,"Football",1,"Lawrence Taylor"
1984,"Golf",1,"Jack Nicklaus"
